datetime,TEMPERATURE,WINDSPEED,HUMIDITY
2010-11-03,18.0,8.0,85.0
2010-11-04,21.0,5.0,80.0
2010-11-05,22.0,6.0,74.0
2010-11-06,21.0,13.0,80.0
2010-11-07,18.0,14.0,93.0
2010-11-08,13.0,28.0,81.0
2010-11-09,16.0,17.0,78.0
2010-11-10,13.0,30.0,81.0
2010-11-11,13.0,19.0,72.0
2010-11-12,17.0,24.0,89.0
2010-11-13,19.0,12.0,83.0
2010-11-14,21.0,9.0,83.0
2010-11-15,20.0,14.0,88.0
2010-11-16,15.0,22.0,84.0
2010-11-17,15.0,11.0,79.0
2010-11-18,13.0,14.0,88.0
2010-11-19,14.0,14.0,77.0
2010-11-20,17.0,10.0,76.0
2010-11-21,15.0,15.0,92.0
2010-11-22,14.0,16.0,82.0
2010-11-23,12.0,29.0,79.0
2010-11-24,11.0,16.0,77.0
2010-11-25,13.0,22.0,67.0
2010-11-26,10.0,47.0,66.0
2010-11-27,12.0,9.0,57.0
2010-11-28,14.0,17.0,92.0
2010-11-29,11.0,19.0,62.0
2010-11-30,13.0,16.0,89.0
2010-12-01,12.0,19.0,85.0
2010-12-02,11.0,18.0,83.0
2010-12-03,10.0,13.0,78.0
2010-12-04,7.0,25.0,77.0
2010-12-05,12.0,14.0,71.0
2010-12-06,17.0,23.0,91.0
2010-12-07,18.0,18.0,96.0
2010-12-08,17.0,13.0,93.0
2010-12-09,16.0,28.0,94.0
2010-12-10,11.0,9.0,84.0
2010-12-11,14.0,12.0,79.0
2010-12-12,17.0,21.0,89.0
2010-12-13,11.0,13.0,85.0
2010-12-14,9.0,10.0,81.0
2010-12-15,8.0,16.0,69.0
2010-12-16,6.0,9.0,64.0
2010-12-17,12.0,36.0,89.0
2010-12-18,6.0,27.0,73.0
2010-12-19,12.0,17.0,83.0
2010-12-20,13.0,8.0,90.0
2010-12-21,15.0,15.0,90.0
2010-12-22,17.0,13.0,90.0
2010-12-23,16.0,15.0,94.0
2010-12-24,13.0,25.0,93.0
2010-12-25,8.0,25.0,86.0
2010-12-26,10.0,9.0,90.0
2010-12-27,8.0,12.0,84.0
2010-12-28,10.0,9.0,79.0
